Model,Metric,Value
LR,Accuracy,0.7157
LR,F1 Score,0.726
MLP,Accuracy,0.9807
MLP,F1 Score,0.9807
RF,Accuracy,0.9688
RF,F1 Score,0.9686
XGBoost,Accuracy,0.9981
XGBoost,F1 Score,0.9983
