Model,Metric,Value
LR,Accuracy,0.5883
LR,F1 Score,0.5836
MLP,Accuracy,0.5664
MLP,F1 Score,0.54
RF,Accuracy,0.4799
RF,F1 Score,0.4728
XGBoost,Accuracy,0.5127
XGBoost,F1 Score,0.5022
