Model,Metric,Value
LR,Accuracy,0.7416
LR,F1 Score,0.7581
LR,AUC,0.8359
MLP,Accuracy,0.7952
MLP,F1 Score,0.8067
MLP,AUC,0.8902
RF,Accuracy,0.8095
RF,F1 Score,0.8166
RF,AUC,0.8714
XGBoost,Accuracy,0.8102
XGBoost,F1 Score,0.8197
XGBoost,AUC,0.8991
