Model,Metric,Value
LR,Accuracy,0.6994
LR,F1 Score,0.613
MLP,Accuracy,0.8064
MLP,F1 Score,0.7744
RF,Accuracy,0.7572
RF,F1 Score,0.7549
XGBoost,Accuracy,0.7197
XGBoost,F1 Score,0.7425
