Model,Metric,Value
LR,Accuracy,0.6994
LR,F1 Score,0.5757
MLP,Accuracy,0.6965
MLP,F1 Score,0.5794
RF,Accuracy,0.6156
RF,F1 Score,0.5787
XGBoost,Accuracy,0.604
XGBoost,F1 Score,0.5839
