Model,Metric,Value
LR,Accuracy,0.7081
LR,F1 Score,0.6288
MLP,Accuracy,0.6994
MLP,F1 Score,0.6277
RF,Accuracy,0.711
RF,F1 Score,0.6115
XGBoost,Accuracy,0.7168
XGBoost,F1 Score,0.6191
