Model,Metric,Value
LR,Accuracy,0.7081
LR,F1 Score,0.6653
MLP,Accuracy,0.8382
MLP,F1 Score,0.8188
RF,Accuracy,0.8208
RF,F1 Score,0.8101
XGBoost,Accuracy,0.8324
XGBoost,F1 Score,0.8261
