Model,Metric,Value
LR,Accuracy,0.8573
LR,F1 Score,0.8443
MLP,Accuracy,0.637
MLP,F1 Score,0.7013
RF,Accuracy,0.9696
RF,F1 Score,0.9681
XGBoost,Accuracy,0.957
XGBoost,F1 Score,0.9571
