Model,Metric,Value
LR,Accuracy,0.9224
LR,F1 Score,0.9289
MLP,Accuracy,0.9984
MLP,F1 Score,0.9985
RF,Accuracy,0.9993
RF,F1 Score,0.9993
XGBoost,Accuracy,0.9991
XGBoost,F1 Score,0.9991
