Model,Metric,Value
LR,Accuracy,0.9186
LR,F1 Score,0.9077
MLP,Accuracy,0.9779
MLP,F1 Score,0.9765
RF,Accuracy,0.9792
RF,F1 Score,0.978
XGBoost,Accuracy,0.9848
XGBoost,F1 Score,0.984
