Model,Metric,Value
LR,Accuracy,0.9478
LR,F1 Score,0.9511
MLP,Accuracy,0.999
MLP,F1 Score,0.999
RF,Accuracy,0.9993
RF,F1 Score,0.9993
XGBoost,Accuracy,0.9991
XGBoost,F1 Score,0.9991
